OBJECTID,CMPTRL_CNTY_NBR,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,CNTY_NM,GID,SHAPE_Length,SHAPE_Area
111,209,209,48417,209,8,Shackelford,164,1.91581950236834,0.228163273631941
112,127,127,48253,128,8,Jones,165,1.95246517596097,0.23329225249227
113,215,215,48429,215,23,Stephens,166,1.92229973287273,0.22965282059448
114,76,76,48151,77,8,Fisher,167,1.90300846075193,0.225015301071151
115,17,17,48033,17,8,Borden,168,1.90867954467227,0.225824263584304
116,208,208,48415,208,8,Scurry,169,1.90558638263333,0.226711801229304
117,58,58,48115,58,5,Dawson,170,1.90370765783293,0.224777361567545
118,83,83,48165,84,5,Gaines,171,2.59041959128916,0.374514866745717
119,230,230,48459,230,19,Upshur,172,1.79982329207558,0.147655520649109
120,155,158,48315,155,19,Marion,173,2.0336860116689,0.104798970681994
121,182,182,48363,182,2,Palo Pinto,174,2.01461040128834,0.245588796490599
122,184,184,48367,184,2,Parker,175,1.9087352440636,0.225855882498553
123,73,73,48145,74,9,Falls,103,1.79779537959048,0.189767718945176
124,48,48,48095,48,7,Concho,104,2.162795422749,0.243740738300433
125,3,3,48005,3,11,Angelina,105,3.4328000253314,0.212057011991825
126,192,192,48383,192,7,Reagan,106,2.15353561653444,0.288722872904696
127,231,231,48461,231,6,Upton,107,2.20445692248942,0.304863337941159
128,113,113,48225,114,11,Houston,108,3.17709207717904,0.303656473985266
129,52,52,48103,52,6,Crane,109,2.39767442149827,0.192992632691217
130,238,238,48475,238,6,Ward,110,2.93956589257627,0.205498632309711
131,226,226,48451,226,7,Tom Green,111,3.51352386280341,0.378385503659649
132,145,145,48289,145,17,Leon,112,2.92344762030755,0.2651631634883
133,50,50,48099,50,9,Coryell,113,2.05310874381503,0.259511663631963
134,167,167,48333,167,23,Mills,114,2.43587258572231,0.184326616358736
135,202,202,48403,202,11,Sabine,115,2.03339984972471,0.141502582127889
136,203,203,48405,203,11,San Augustine,116,2.59383485950434,0.145542650200531
137,147,147,48293,147,9,Limestone,117,1.94206642652316,0.229529167308958
138,161,155,48309,161,9,McLennan,118,2.08849456292688,0.260991759672494
139,174,174,48347,174,11,Nacogdoches,119,4.07839835705436,0.241586881644209
140,97,97,48193,98,9,Hamilton,120,1.98043135133911,0.206040289774267
141,151,151,48301,151,6,Loving,121,2.14468389297599,0.166916193881185
142,195,195,48389,195,6,Reeves,122,4.57063316986594,0.648677373139852
143,81,81,48161,82,17,Freestone,123,2.49775824450371,0.219827333684048
